TimeStamp,Left_Pupil_Diameter,Right_Pupil_Diameter
4419762654,3.07836900,4.21783400
4419770985,3.10522500,4.10386700
4419779317,3.04452500,4.19003300
4419787648,3.12736500,4.17158500
4419795980,3.15623500,4.23309300
4419804312,3.07293700,4.22366300
4419812643,3.14808700,4.30813600
4419820975,3.10464500,4.33808900
4419829306,3.12828100,4.31366000
4419837638,3.17306500,4.40011600
4419845969,3.12854000,4.39277600
4419854301,3.18681300,4.41111800
4419862632,3.17926000,4.40846300
4419870964,3.32296800,4.43461600
4419879295,3.22331200,4.45910600
4419887627,3.25929300,4.44752500
4419895958,3.46684300,4.45947300
4419904290,3.47631800,4.45495600
4419912621,3.50825500,4.50422700
4419920953,3.48498500,4.51509100
4419929284,3.47555500,4.50822400
4419937616,3.48095700,4.50058000
4419945947,3.41761800,4.53729200
4419954279,3.37785300,4.42894000
4419962611,3.40287800,4.43138100
4419970942,3.30748000,4.46504200
4419979274,3.22479200,4.44923400
4419987605,3.29307600,4.36637900
4419995937,3.25726300,4.38050800
4420004268,3.23446700,4.51419100
4420012600,3.25575300,4.43583700
4420020931,3.21292100,4.48269700
4420029263,3.21551500,4.37617500
4420037594,3.28181500,4.34983800
4420045926,3.16105700,4.39309700
4420054257,3.20886200,4.38400300
4420062589,3.19715900,4.23454300
4420070920,3.22569300,4.27928200
4420079252,3.24118000,4.24819900
4420087583,3.28315700,4.21116600
4420095915,3.28256200,4.23024000
4420104246,3.21011400,4.22644000
4420112578,3.20222500,4.19923400
4420120909,3.11470000,4.16746500
4420129241,3.15444900,4.17205800
4420137573,3.13468900,4.15502900
4420145904,3.13089000,4.19761700
4420154236,3.13919100,4.17347700
4420162567,3.15174900,4.22891200
4420170899,3.20047000,4.23495500
4420179230,3.17608600,4.24655200
4420187562,3.23300200,4.25746200
4420195893,3.21640000,4.27348300
4420204225,3.18771400,4.19207800
4420212556,3.14036600,4.24392700
4420220888,3.13023400,4.19526700
4420229219,3.13783300,4.24717700
4420237551,3.13224800,4.25271600
4420245882,3.12216200,4.29414400
4420254214,3.12823500,4.25802600
4420262545,3.12533600,4.23645000
4420270877,3.17863500,4.30618300
4420279208,3.13122600,4.26876800
4420287540,3.13537600,4.26597600
4420295872,3.19119300,4.22955300
4420304203,3.16012600,4.28102100
4420312535,3.24099700,4.30009500
4420320866,3.14962800,4.24116500
4420329198,3.14389000,4.30181900
4420337529,3.15501400,4.23669400
